Voter,Gender,Party,Military,Overseas,Absentee,RegDate
v1,F,Democratic,N,N,N,2012/7/4
v2,M,Republican,N,N,N,2010/1/1
v3,M,Democratic,N,N,N,2010/1/1
v4,F,Democratic,N,N,Y,2010/1/1
v5,M,Democratic,N,N,Y,2010/1/1
v6,F,Republican,Y,N,Y,2010/1/1
v7,F,Republican,N,N,N,2012/7/4
v8,F,Republican,N,N,N,2012/7/4
v9,F,Democratic,N,N,N,2010/1/1
v10,F,Democratic,N,N,N,2012/7/4
v11,F,Green,N,N,Y,2010/1/1
v12,F,Democratic,N,N,N,2010/1/1
v13,F,Republican,N,N,N,2012/7/4
v14,M,Republican,N,N,N,2010/1/1
v15,F,Republican,N,N,N,2012/7/4
v16,F,Democratic,Y,N,Y,2010/1/1
v17,F,Republican,N,N,N,2012/7/4
v18,M,Democratic,N,N,N,2012/7/4
v19,M,Democratic,N,N,N,2012/7/4
v20,M,Republican,N,N,Y,2012/7/4
v21,F,Green,N,N,N,2010/1/1
v22,F,Republican,N,N,N,2010/1/1
v23,F,Democratic,N,N,N,2012/7/4
v24,M,Republican,N,N,Y,2012/7/4
v25,F,Republican,N,N,N,2010/1/1
v26,M,Green,N,N,N,2010/1/1
v27,M,Republican,N,N,Y,2010/1/1
v28,M,Democratic,N,N,N,2010/1/1
v29,F,Republican,N,N,N,2012/7/4
v30,F,Republican,Y,N,Y,2012/7/4
v31,M,Republican,Y,N,Y,2012/7/4
v32,F,Republican,N,N,Y,2010/1/1
v33,M,Green,N,N,Y,2010/1/1
v34,M,Republican,N,N,Y,2012/7/4
v35,M,Green,N,N,N,2010/1/1
v36,F,Democratic,N,N,Y,2010/1/1
v37,F,Green,N,N,Y,2012/7/4
v38,M,Republican,N,N,Y,2012/7/4
v39,F,Republican,N,N,N,2010/1/1
v40,M,Republican,N,N,N,2012/7/4
v41,F,Republican,N,N,N,2010/1/1
v42,F,Republican,N,N,Y,2010/1/1
v43,M,Republican,N,N,N,2010/1/1
v44,F,Democratic,N,N,N,2012/7/4
v45,F,Democratic,Y,N,N,2012/7/4
v46,F,Republican,N,N,N,2010/1/1
v47,M,Democratic,N,N,N,2010/1/1
v48,M,Democratic,N,N,N,2010/1/1
v49,M,Republican,N,N,N,2010/1/1
v50,M,Green,N,N,N,2012/7/4
v51,F,Democratic,Y,N,Y,2010/1/1
v52,M,Democratic,N,N,Y,2010/1/1
v53,F,Republican,Y,N,Y,2012/7/4
v54,F,Democratic,N,N,N,2010/1/1
v55,F,Democratic,N,N,Y,2012/7/4
v56,M,Democratic,N,N,Y,2010/1/1
v57,F,Green,N,N,N,2012/7/4
v58,F,Green,N,N,Y,2012/7/4
v59,M,Republican,N,N,Y,2012/7/4
v60,F,Democratic,Y,N,Y,2010/1/1
v61,F,Democratic,N,N,N,2010/1/1
v62,M,Republican,N,N,N,2010/1/1
v63,F,Democratic,N,N,N,2010/1/1
v64,F,Democratic,N,N,N,2012/7/4
v65,F,Democratic,N,N,N,2012/7/4
v66,F,Republican,N,N,N,2010/1/1
v67,M,Democratic,N,N,N,2010/1/1
v68,M,Democratic,N,Y,Y,2010/1/1
v69,F,Democratic,N,N,N,2010/1/1
v70,M,Republican,N,N,N,2010/1/1
v71,F,Democratic,N,N,N,2012/7/4
v72,M,Democratic,N,N,N,2012/7/4
v73,M,Democratic,N,N,Y,2010/1/1
v74,M,Republican,Y,N,Y,2012/7/4
v75,M,Democratic,N,Y,Y,2010/1/1
v76,F,Democratic,N,N,Y,2012/7/4
v77,M,Republican,N,N,Y,2012/7/4
v78,M,Democratic,Y,N,Y,2010/1/1
v79,M,Republican,Y,N,Y,2012/7/4
v80,F,Republican,Y,N,Y,2012/7/4
v81,F,Republican,N,N,N,2012/7/4
v82,F,Democratic,Y,N,Y,2010/1/1
v83,M,Republican,N,N,N,2012/7/4
v84,F,Republican,N,N,Y,2010/1/1
v85,M,Democratic,N,N,Y,2012/7/4
v86,M,Democratic,N,N,Y,2012/7/4
v87,F,Democratic,N,N,N,2010/1/1
v88,M,Democratic,N,N,Y,2012/7/4
v89,F,Republican,N,N,Y,2010/1/1
v90,F,Democratic,N,N,N,2012/7/4
v91,M,Green,N,N,N,2010/1/1
v92,M,Democratic,N,N,N,2010/1/1
v93,M,Democratic,N,N,Y,2010/1/1
v94,F,Democratic,N,N,N,2012/7/4
v95,M,Republican,N,N,Y,2010/1/1
v96,F,Democratic,N,N,Y,2010/1/1
v97,F,Republican,N,N,N,2010/1/1
v98,F,Green,N,N,N,2012/7/4
v99,M,Republican,N,N,N,2012/7/4
v100,F,Democratic,N,N,Y,2012/7/4
