Voter,Gender,Party,Military,Overseas,Absentee,RegDate
v1,F,Democratic,N,N,N,2010/1/1
v2,F,Democratic,N,N,Y,2012/7/4
v3,F,Republican,N,N,N,2010/1/1
v4,M,Republican,N,N,N,2010/1/1
v5,F,Democratic,N,Y,Y,2010/1/1
v6,F,Republican,Y,N,Y,2012/7/4
v7,M,Republican,N,N,Y,2010/1/1
v8,F,Democratic,N,N,N,2012/7/4
v9,F,Green,Y,N,Y,2012/7/4
v10,F,Republican,N,N,N,2010/1/1
v11,M,Republican,N,N,N,2012/7/4
v12,F,Democratic,N,N,N,2012/7/4
v13,F,Republican,N,N,N,2010/1/1
v14,M,Republican,N,N,N,2010/1/1
v15,F,Democratic,N,N,N,2010/1/1
v16,F,Democratic,N,N,N,2012/7/4
v17,M,Republican,N,N,Y,2010/1/1
v18,M,Democratic,Y,N,Y,2012/7/4
v19,F,Democratic,N,N,Y,2010/1/1
v20,M,Republican,N,N,N,2012/7/4
v21,F,Democratic,N,N,N,2010/1/1
v22,M,Democratic,N,N,Y,2012/7/4
v23,F,Democratic,N,N,N,2010/1/1
v24,M,Green,N,N,N,2012/7/4
v25,F,Republican,N,N,N,2012/7/4
v26,F,Republican,N,N,N,2012/7/4
v27,M,Democratic,N,N,N,2012/7/4
v28,M,Democratic,N,N,N,2010/1/1
v29,M,Republican,N,N,N,2012/7/4
v30,M,Democratic,N,N,N,2010/1/1
v31,M,Republican,N,N,Y,2010/1/1
v32,M,Republican,N,N,Y,2012/7/4
v33,F,Republican,N,N,N,2012/7/4
v34,F,Republican,N,N,N,2012/7/4
v35,F,Democratic,N,N,N,2012/7/4
v36,F,Democratic,N,N,N,2012/7/4
v37,F,Democratic,N,N,N,2010/1/1
v38,F,Republican,N,N,N,2012/7/4
v39,F,Democratic,N,N,N,2010/1/1
v40,M,Democratic,N,N,Y,2010/1/1
v41,F,Democratic,N,N,Y,2012/7/4
v42,F,Democratic,N,N,Y,2012/7/4
v43,M,Republican,N,N,N,2010/1/1
v44,F,Democratic,N,N,Y,2010/1/1
v45,F,Democratic,N,N,N,2010/1/1
v46,F,Democratic,N,N,N,2012/7/4
v47,F,Democratic,N,N,N,2012/7/4
v48,F,Democratic,N,N,Y,2012/7/4
v49,F,Republican,N,N,N,2012/7/4
v50,M,Republican,N,N,N,2010/1/1
v51,F,Republican,N,N,N,2010/1/1
v52,M,Republican,N,N,N,2010/1/1
v53,F,Democratic,N,N,N,2010/1/1
v54,M,Republican,N,N,Y,2012/7/4
v55,M,Democratic,N,N,N,2012/7/4
v56,M,Republican,N,N,Y,2012/7/4
v57,F,Democratic,Y,N,Y,2010/1/1
v58,M,Democratic,N,Y,N,2012/7/4
v59,F,Democratic,N,N,N,2010/1/1
v60,F,Republican,N,N,N,2012/7/4
v61,F,Republican,N,N,N,2012/7/4
v62,F,Democratic,Y,N,Y,2012/7/4
v63,F,Republican,Y,N,Y,2010/1/1
v64,F,Republican,N,N,N,2012/7/4
v65,F,Republican,N,N,N,2010/1/1
v66,F,Democratic,N,N,N,2010/1/1
v67,M,Democratic,N,N,N,2012/7/4
v68,M,Green,N,N,Y,2010/1/1
v69,M,Democratic,N,N,N,2010/1/1
v70,M,Democratic,N,N,Y,2012/7/4
v71,F,Republican,N,N,Y,2012/7/4
v72,F,Republican,N,N,Y,2012/7/4
v73,F,Republican,N,N,N,2010/1/1
v74,M,Republican,Y,N,N,2010/1/1
v75,F,Democratic,N,Y,Y,2012/7/4
v76,F,Democratic,N,N,Y,2010/1/1
v77,F,Republican,N,N,N,2010/1/1
v78,M,Democratic,N,N,Y,2010/1/1
v79,M,Republican,N,N,N,2012/7/4
v80,M,Democratic,N,N,N,2012/7/4
v81,F,Republican,N,N,N,2010/1/1
v82,M,Republican,N,N,N,2010/1/1
v83,M,Republican,N,N,N,2012/7/4
v84,F,Republican,N,N,N,2012/7/4
v85,M,Republican,N,N,Y,2010/1/1
v86,M,Republican,Y,N,Y,2010/1/1
v87,M,Republican,N,N,N,2012/7/4
v88,M,Democratic,N,N,Y,2012/7/4
v89,M,Republican,N,N,Y,2012/7/4
v90,M,Democratic,N,N,Y,2012/7/4
v91,F,Republican,N,Y,Y,2012/7/4
v92,M,Democratic,N,N,Y,2012/7/4
v93,F,Green,N,N,N,2012/7/4
v94,M,Republican,N,N,N,2010/1/1
v95,F,Democratic,Y,N,Y,2012/7/4
v96,F,Republican,N,N,N,2012/7/4
v97,M,Democratic,N,N,N,2010/1/1
v98,M,Democratic,N,N,N,2010/1/1
v99,M,Republican,N,N,N,2012/7/4
v100,F,Republican,Y,N,N,2010/1/1
v101,F,Republican,Y,N,Y,2010/1/1
v102,F,Republican,N,N,N,2012/7/4
v103,F,Democratic,N,N,N,2012/7/4
v104,F,Republican,N,N,N,2010/1/1
v105,M,Republican,N,N,N,2010/1/1
v106,M,Republican,N,N,Y,2010/1/1
v107,M,Republican,N,N,Y,2012/7/4
v108,F,Republican,Y,N,Y,2010/1/1
v109,M,Democratic,N,N,N,2010/1/1
v110,M,Republican,N,N,N,2010/1/1
v111,M,Democratic,N,N,N,2012/7/4
