Voter,Type,Gender,Party,
v1,domestic,M,Republican,
v2,domestic,F,Democratic,
v3,domestic,F,Republican,
v4,domestic,F,Republican,
v5,domestic,F,Democratic,
v6,domestic,F,Democratic,
v7,domestic,F,Republican,
v8,domestic,M,Democratic,
v9,domestic,M,Democratic,
v10,domestic,F,Republican,
v11,domestic,M,Republican,
v12,domestic,M,Republican,
v13,domestic,F,Democratic,
v14,domestic,M,Republican,
v15,domestic,F,Republican,
v16,domestic,F,Republican,
v17,domestic,F,Green,
v18,domestic,M,Democratic,
v19,domestic,F,Democratic,
v20,domestic,M,Democratic,
v21,domestic,F,Republican,
v22,domestic,M,Republican,
v23,domestic,F,Democratic,
v24,domestic,F,Republican,
v25,domestic,M,Republican,
v26,domestic,M,Republican,
v27,domestic,M,Republican,
v28,domestic,F,Republican,
v29,domestic,F,Green,
v30,domestic,F,Republican,
v31,domestic,F,Green,
v32,domestic,M,Republican,
v33,domestic,F,Republican,
v34,domestic,M,Republican,
v35,domestic,F,Green,
v36,domestic,F,Democratic,
v37,domestic,M,Republican,
v38,domestic,M,Republican,
v39,domestic,M,Green,
v40,UOCAVA,M,Republican,
v41,domestic,M,Democratic,
v42,domestic,M,Republican,
v43,UOCAVA,F,Democratic,
v44,domestic,M,Democratic,
v45,domestic,F,Republican,
v46,domestic,F,Democratic,
v47,domestic,F,Republican,
v48,domestic,M,Republican,
v49,domestic,F,Republican,
v50,domestic,F,Democratic,
v51,domestic,F,Republican,
v52,domestic,M,Democratic,
v53,domestic,M,Green,
v54,domestic,F,Republican,
v55,domestic,M,Republican,
v56,domestic,F,Republican,
v57,domestic,F,Democratic,
v58,domestic,F,Republican,
v59,domestic,F,Republican,
v60,domestic,F,Republican,
v61,domestic,M,Democratic,
v62,domestic,F,Democratic,
v63,domestic,M,Republican,
v64,domestic,F,Democratic,
v65,domestic,M,Republican,
v66,domestic,F,Republican,
v67,UOCAVA,M,Democratic,
v68,domestic,F,Democratic,
v69,domestic,F,Republican,
v70,domestic,M,Republican,
v71,domestic,M,Democratic,
v72,domestic,F,Republican,
v73,domestic,M,Republican,
v74,UOCAVA,F,Green,
v75,domestic,M,Republican,
v76,domestic,M,Republican,
v77,domestic,F,Democratic,
v78,domestic,M,Republican,
v79,UOCAVA,M,Democratic,
v80,domestic,M,Republican,
v81,domestic,F,Republican,
v82,domestic,M,Green,
v83,domestic,F,Republican,
v84,domestic,M,Republican,
v85,domestic,F,Republican,
v86,domestic,M,Republican,
v87,domestic,M,Democratic,
v88,domestic,F,Democratic,
v89,domestic,M,Republican,
v90,domestic,M,Democratic,
v91,domestic,F,Democratic,
v92,domestic,F,Democratic,
v93,domestic,F,Republican,
v94,domestic,M,Republican,
v95,UOCAVA,F,Democratic,
v96,domestic,M,Green,
v97,domestic,M,Republican,
v98,domestic,F,Republican,
v99,domestic,M,Republican,
v100,domestic,F,Green,
