Voter,Type,Gender,Party
v1,domestic,F,Republican,,Absentee
v2,domestic,F,Republican
v3,domestic,F,Democratic,,Absentee
v4,domestic,F,Republican
v5,domestic,M,Republican
v6,domestic,F,Republican
v7,domestic,F,Republican
v8,domestic,F,Democratic
v9,domestic,M,Democratic
v10,domestic,F,Democratic
v11,domestic,F,Democratic
v12,domestic,F,Republican
v13,domestic,M,Republican
v14,domestic,M,Democratic
v15,domestic,F,Republican
v16,UOCAVA,M,Republican
v17,domestic,F,Democratic,,Absentee
v18,domestic,M,Democratic
v19,domestic,M,Democratic
v20,UOCAVA,F,Democratic
v21,domestic,F,Democratic
v22,UOCAVA,M,Green,,Absentee
v23,domestic,F,Democratic
v24,domestic,F,Republican
v25,domestic,F,Republican
v26,UOCAVA,M,Republican,Military
v27,domestic,F,Republican
v28,domestic,F,Democratic
v29,domestic,F,Green
v30,domestic,M,Republican,,Absentee
v31,domestic,F,Green
v32,domestic,M,Democratic,,Absentee
v33,domestic,F,Democratic,,Absentee
v34,domestic,F,Democratic
v35,domestic,F,Democratic,,Absentee
v36,domestic,F,Democratic
v37,domestic,M,Republican,,Absentee
v38,domestic,M,Democratic
v39,UOCAVA,M,Democratic
v40,domestic,M,Democratic
v41,domestic,F,Republican
v42,domestic,F,Republican
v43,domestic,M,Republican,,Absentee
v44,domestic,M,Republican
v45,domestic,F,Democratic,,Absentee
v46,domestic,M,Republican
v47,UOCAVA,M,Democratic,Military
v48,domestic,F,Republican,,Absentee
v49,domestic,F,Republican
v50,domestic,F,Republican
v51,domestic,F,Democratic
v52,domestic,F,Republican
v53,domestic,F,Republican
v54,domestic,M,Republican
v55,domestic,M,Republican
v56,domestic,F,Republican,,Absentee
v57,domestic,M,Green
v58,domestic,F,Democratic,,Absentee
v59,domestic,F,Green,,Absentee
v60,domestic,F,Democratic
v61,UOCAVA,M,Republican,Military,Absentee
v62,domestic,M,Democratic
v63,domestic,F,Republican
v64,domestic,F,Green
v65,domestic,M,Republican
v66,domestic,M,Democratic,,Absentee
v67,domestic,F,Republican
v68,domestic,F,Democratic
v69,UOCAVA,F,Republican,Military,Absentee
v70,domestic,F,Republican,,Absentee
v71,domestic,F,Democratic
v72,domestic,F,Democratic,,Absentee
v73,domestic,F,Democratic
v74,domestic,M,Democratic
v75,UOCAVA,F,Republican,Military
v76,domestic,M,Democratic
v77,UOCAVA,M,Democratic
v78,domestic,F,Democratic,,Absentee
v79,domestic,F,Republican,,Absentee
v80,domestic,F,Democratic
v81,domestic,F,Democratic
v82,UOCAVA,F,Republican,,Absentee
v83,domestic,M,Democratic
v84,domestic,F,Republican
v85,domestic,M,Republican
v86,domestic,F,Republican
v87,UOCAVA,F,Green,,Absentee
v88,domestic,F,Republican
v89,domestic,M,Republican
v90,domestic,M,Republican
v91,domestic,F,Democratic
v92,domestic,F,Democratic
v93,domestic,F,Republican,,Absentee
v94,domestic,M,Republican,,Absentee
v95,domestic,M,Democratic
v96,UOCAVA,F,Democratic,Military
v97,domestic,F,Democratic
v98,domestic,F,Republican
v99,UOCAVA,M,Republican,Military
v100,domestic,M,Republican
